Date,S&P500
2015-01-08,0.03819134961703008
2015-01-09,-0.01826313710990979
2015-01-12,-0.017441137863185574
2015-01-13,-0.005511610333804429
2015-01-14,-0.01239321941214877
2015-01-15,-0.019601520498806924
2015-01-16,0.02819035878188636
2015-01-20,0.003298535438777561
2015-01-21,0.01008529845019246
2015-01-22,0.03270081618698817
2015-01-23,-0.011940065981262293
2015-01-26,0.0055537641413285765
2015-01-27,-0.029022896480491722
2015-01-28,-0.02886481970227517
2015-01-29,0.020117904640979845
2015-01-30,-0.02767397463971344
2015-02-02,0.027252436564470184
2015-02-03,0.03075120258898867
2015-02-04,-0.00897876100267947
2015-02-05,0.022141287402146714
2015-02-06,-0.007429608576160707
2015-02-09,-0.009200068492181801
2015-02-10,0.023026517360157595
2015-02-11,-6.323071128644386e-05
